contract_type,job_type,location,salary,title,url
Contract,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51958412?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51943801?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Blackpool, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51992272?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Crayford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51962352?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Harrow On The Hill, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51961479?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Luton, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51961038?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Ilford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51924655?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Derby, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51958154?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Milton Keynes, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51992303?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,"Newport, Gwent", Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51923421?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Reading, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51896488?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Birkenhead, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51883723?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Widmore, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51879760?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Cardiff, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51862855?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Edinburgh, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51854986?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Leeds, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51854978?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Glasgow, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51853182?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Leicester, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51854341?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,York, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52027784?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Bournemouth, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52027243?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Oxford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52014010?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Walsall, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007892?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Wigan, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007830?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Ipswich, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007594?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
Permanent,full-time,Newcastle Upon Tyne, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52000871?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Contract,full-time,Netherlands,€95 - €110 per hour,Data Governance Analyst,/jobs/data-governance-analyst/52168319?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Crawley, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007539?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,West London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52007487?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Swindon, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52001196?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Sutton Coldfield, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/52000925?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Twickenham, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51996617?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Barking, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51996431?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,West Hoe, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51958460?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51958363?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Bradford, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51927454?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Hounslow, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51951376?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51941224?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51958296?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Norwich, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51996391?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Preston, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51919351?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Hull, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51911012?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51890509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,North London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51890362?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Coventry, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51870409?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51879883?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51879318?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Stoke-on-Trent, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51868962?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Manchester, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51868737?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,North West London, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51868590?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Bristol, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51852840?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
Permanent,full-time,Birmingham, Training Course,Data Analyst Trainee,/jobs/data-analyst-trainee/51852796?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D2
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Permanent,full-time,Loughborough,Competitive salary,Risk Data Analyst,/jobs/risk-data-analyst/52190438?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs%3Fpageno%3D3
